URL	Notes	Camp Name	State	Target Group (Women, Ethnic Minorities, Low Income, N/A)	Theme (Game Design, Art, Programming, VR, App Dev, Web Dev, Minecraft, Robotics, More Than One, Other 	Language of Instruction	Cost (list costs, and ranges seperated by commas) or Unknown	Target age group	Length (Overnight, Full, Half, # of days) or Unknown	Scholarships (Yes, No, Unknown)
http://www.mazemakers.com/activities.html		Mazemaker camp	Massachusetts	N/A	Web Dev	Unknown	$2,800	7,8,9,10,11,12,13	20	U
https://www.stemforkids.net/		STEM for Kids	North Carolina, Wisconsin, Washington, Texas	N/A	Web Dev	Unknown	Unknown	11,12,13,14,15,16,17	5	U
https://summerinstitutes.stanford.edu/courses/high-school/Computer-Science#department-803	Standford Summer Institute Camp	Web Technologies	California	N/A	Web Development	Unknown	$6,300	15,16	15	Y
http://www.imaginethatfun.com/camp_summer_robots.html	Imagine That!	Robotics and Programming	Georgia	N/A	Robotics, Programming	LEGO	$275	11,12,13,14	4	unknown
http://www.imaginethatfun.com/camp_summer_Minecraft.html	Imagine That!	Minecraft, Programming, and Logic	Georgia	N/A	Programming, Minecraft	Lua	$320	11,12,13,14	4	unknown
https://inhouse.unt.edu/summer-programs-offer-learning-and-fun-kids-all-ages		UNT Summer Camp	Texas	N/A	Game Design, App Dev	Unknown	$0	12,13,14,15,16,17	5	no
https://news.boisestate.edu/update/2016/03/11/boise-state-announce-summer-camps-kids-ages/		e-camp	Idaho	N/A	Programming	Unknown	$250	13,14,15	3	
https://roboticscamp.hsv-k12.org/		5th Annual Summer Engineering Camp (SEC) 4 Robotics	Alabama	N/A	Robotics	LEGO	$0	10,11,12,13	Full, 5	N/A
http://www.rhfleet.org/events/summer-camps		Robotics Garage	California	N/A	Robotics	LEGO	$325	12,13	Half, 5	Unknown
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Racing Games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Kodu	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Invader Defense games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Clickteam Fusion 2.5	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Platform Games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Clickteam Fusion 2.6	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Tower Defense Games	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Game Design	Clickteam Fusion 2	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Rescue Robots	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Robotic Olympics	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Robot Surgeons	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 5	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Robo Battles	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Ocean Missions	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Mission to Mars	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Envirobots	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Da'Vinci's Designs	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	Robotics 101	Minnesota, Washington, Oregon, California, Nevada, Arizona, New Mexico, Colorado, Kansas, Texas, Arkansas, Missouri, Minnesota, Wisconsin, Illinois, Indiana, Kentucky, Tennesse, Alabama, Georgia, South Carolina, North Carolina, Florida, Virginia, District of Columbia, Maryland, New Jersey, Connecticut, Massachussetts, New York, Pennsylvania	N/A	Robotics	LEGO	$140	11,12,13,14	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	MinecraftEDU: Medieval Redstone	Minneota 	N/A	Minecraft	Minecraft	$140	8,9,10,11	Half, 4	Y
http://engineeringforkids.com/location/mpls/summerbycamp	Engineering For Kids	MinecraftEDU: Traveling into the Future	Minnesota 	N/A	Minecraft	Minecraft	$140	8,9,10,11	Half, 4	Y
http://www.hands-on-mobile.com/#!camp-sessions/mcpgn		Mobile Tech 100: Introduction to Coding & Circuits	California	N/A	Programming	Unknown	$850	8,9,10,11	Full, 10	Unknown
http://www.hands-on-mobile.com/#!camp-sessions/mcpgn		Mobile Tech 200: Intermediate Coding & Circuits	California	N/A	Programming	Unknown	$900	8,9,10,11	Full, 10	Unknown
http://www.hands-on-mobile.com/#!camp-sessions/mcpgn		Mobile Tech 300: Advanced Mobile Technology	California	N/A	App Dev	Unknown	$900	8,9,10,11	Full, 10	Unknown
http://www.thoughtstem.com/home/programs/reuben-h-fleet-science-center		Summer Camps at Reuben H. Fleet Science Center	California	N/A	MInecraft	Minecraft	$325	8,9,10,11,12,13	Half, 5	Unknown
brown.edu/academics/pre-college/spark/		Brown University Pre-College Program	Rhode Island	N/A	Robotics	LEGO, C	$4,086	11,12,13,14,15,16,17	Half, 10	Y
ceo.umich.edu/summer.html	couldn't find much information about this one	Girls in Science and Engineering (GISE)	Michigan	Women	Programming	Unknown		12,13	5	U
http://www.cherrycreekschools.org/STEM/STEM%20Summer%20Camp%20Opportunities/STEM%20Summer%20Camp%20Opportunities%202015%20for%20Middle%20and%20High%20School%20Students%20.pdf		A Week of Geek	Colorado	N/A	programming, Art, Robotics, Minecraft	Unknown	$695	9,10,11,12,13,14	5	U
http://www.cherrycreekschools.org/STEM/STEM%20Summer%20Camp%20Opportunities/STEM%20Summer%20Camp%20Opportunities%202015%20for%20Middle%20and%20High%20School%20Students%20.pdf		All About the Bots	Colorado	N/A	Robotics	LEGO	$695	10,11,12,13,14,15,16	5	U
http://www.cherrycreekschools.org/STEM/STEM%20Summer%20Camp%20Opportunities/STEM%20Summer%20Camp%20Opportunities%202015%20for%20Middle%20and%20High%20School%20Students%20.pdf		Code like a BOSS!	Colorado	N/A	programming, Web dev	Java, Python, Minecraft	Unknown	10,11,12,13,14,15,16	5	U
http://www.cherrycreekschools.org/STEM/STEM%20Summer%20Camp%20Opportunities/STEM%20Summer%20Camp%20Opportunities%202015%20for%20Middle%20and%20High%20School%20Students%20.pdf		Mod Like a Modder	Colorado	N/A	Minecraft	Java	Unknown	10,11,12,13,14,15,16	5	U
http://www2.montgomerycollege.edu/departments/wdce/youthpdf/ysummer2016.pdf		Computer Programming 1	Maryland	N/A	Programming	Scratch	$460	11,12,13	10	U
http://www2.montgomerycollege.edu/departments/wdce/youthpdf/ysummer2016.pdf		Computer Programming 2	Maryland	N/A	Programming	Virtual Basic	$480	11,12,13	10	U
http://www2.montgomerycollege.edu/departments/wdce/youthpdf/ysummer2016.pdf		GURL Power	Maryland	Women	Web Dev	Adobe	$480	11,12,13	10	U
http://www2.montgomerycollege.edu/departments/wdce/youthpdf/ysummer2016.pdf		G2: Girl Gamers Club	Maryland	Women	Game Design	Unknown	$195	8,9,10	4	U
dunwoody.edu/blog/2015/computer-technology-department-hosts-summer-arts-n-crafts-robots-and-computing-camp/		SUMMER ARTS-N-CRAFTS, ROBOTS AND COMPUTING CAMP	Minnesota	N/A	Game Design, App Dev, Art	Scratch, App Inventor, LEGO	Unknown	10,11,12,13	Unknown	U
http://engineering.missouri.edu/lego/7th-9th-grade/		LEGO Camp	Missouri	N/A	Robotics	LEGO	$300	12,13,14	3	U
govcs.net/summer_reg/#7th		Robotics Camp - Beginner	California	Christians	Robotics	LEGO	$450	8,9,10,11,12,13,14	Full, 5	U
govcs.net/summer_reg/#7th		Robotics Camp - Intermediate and Advanced	California	Chiristians	Robotics	LEGO	$875	9,10,11,12,13,14	Full, 5	U
ceismc.gatech.edu/studentprograms/summer-peaks_programs/middle		LearnToMod: Adventures in Minecraft Modding	Georgia	N/A	Minecraft	Blockly	$410	12,13,14	Full, 5	Y
http://registration.conference.gatech.edu/DocumentStore/ceismc/MiddleDescriptions.pdf		MS Make Wonder: Learn to Code with Dash & Dot	Georgia	N/A	Programming	Dash & Dot	$410	12,13,14	Full, 5	Y
http://registration.conference.gatech.edu/DocumentStore/ceismc/MiddleDescriptions.pdf		LEGO Mindstorms	Georgia	N/A	Robotics	LEGO	$410	12,13,14	Full, 5	Y
http://registration.conference.gatech.edu/DocumentStore/ceismc/MiddleDescriptions.pdf		MS App and Game Academy	Georgia	N/A	App Dev, Game Design	HTML	$410	12,13,14	Full, 5	Y
https://www.mtholyoke.edu/professional-graduate/courses/idesign		iDesign Workshop for Middle School Girls	Massachusetts	Women	Art	Arduino	$550	11,12,13	Full, 5	U
http://pathwaystoscience.org/programhub.aspx?sort=K12-GuilfordCollege-Programming4Girls		Programming4Girls	North Carolina	Women	Programming	Alice	Unknown	11,12,13,14	10	U
sbunified.org/.../santa-barbara-high-cs-academy-students-offer-su...		Summer Coding Camp	California	N/A	Programming	Scratch	$125	12,13,14	Half, 5	U
https://www.girlsgodigital.org/camp-info/		Girls Go Digital	Utah	Women	Programming, Circuitry, Art, Robotics 	Blockly, Javascript, Python, Arduino, Processing	$295	11,12,13	Full, 4	U
http://www.westfield.ma.edu/cfk/wp-content/uploads/2012/12/CollegeforKidsBrochure2016.pdf		Kids Coding	Massachusetts	N/A	App Dev, Game Design	Unknown	$130	10,11,12,13,14	Half, 5	U
https://continue.weber.edu/summer-camps/	Weber summer camp	Computer Storytelling	Utah	N/A	Art	Unknown	$145	12,13,14	Half, 4	N
https://continue.weber.edu/summer-camps/	Weber summer camp	Computer Game Design	Utah	N/A	Game Design	Unknown	$145	8,9,10,11	Half, 4	N
http://www.thesciencezone.org/uploads/1/0/7/2/10722737/summer_camps_2016.pdf	The Science Zone	Lego!	Wyoming	N/A	Robotics, Programming	LEGO	$110	5,6,7,8,9,10,11,12,13,14	Half, 3	Y
http://www.thesciencezone.org/uploads/1/0/7/2/10722737/summer_camps_2016.pdf	The Science Zone	DIY Computer Game	Wyoming	N/A	Game Design	Scratch	$180	9,10,11,12,13,14	Half, 5	Y
http://www.summer-camp.uw.edu/all-day/middle-school/circuits.asp	University of Washington	Introduction to Circuitry	Washington	Women	Other (circuitry)	Arduino	$515	11,12,13,14	Full, 5	Y
https://projectfun.digipen.edu/summer-programs/junior-workshops		JUNIOR 2D GAME DEVELOPMENT	Washington	N/A	Game Design	Unknown	$1,449	9,10,11,12	Full, 10	U
https://projectfun.digipen.edu/summer-programs/junior-workshops		JUNIOR 3D GAME DEVELOPMENT	Washington	N/A	Game Design	Unknown	$1,449	9,10,11,12	Full, 10	U
https://projectfun.digipen.edu/summer-programs/junior-workshops		JUNIOR PROGRAMMING LEVEL 1	Washington	N/A	Programming	Java	$1,449	9,10,11,12	Full, 10	U
https://projectfun.digipen.edu/summer-programs/junior-workshops		JUNIOR PROGRAMMING LEVEL 2	Washington	N/A	Programming	Java	$1,449	9,10,11,12	Full, 10	U
https://projectfun.digipen.edu/summer-programs/junior-workshops		JUNIOR ROBOTICS LEVEL 1	Washington	N/A	Robotics	Unknown	$1,449	9,10,11,12	Full, 10	U
https://projectfun.digipen.edu/summer-programs/junior-workshops		JUNIOR ROBOTICS LEVEL 2	Washington	N/A	Robotics	Unknown	$1,449	9,10,11,12	Full, 10	U
https://edwardscampus.ku.edu/summer-camps-ku-edwards-campus	Kansas Univesity	Design Storm	Kansas	N/A	Robotics	Unknown	$175	11,12,13,14	Half, 5	N
http://techventurekids.org		Intro to Coding Games and Animations	Washington	N/A	Game Design	Scratch	$291	10,11,12,13,14	Half, 5	U
http://techventurekids.org		Learn to Code with Minecraft	Washington	N/A	Minecraft	Minecraft	$291	10,11,12,13,14	Half, 5	U
http://techventurekids.org		Intro to Engineering with Minecraft	Washington	N/A	Minecraft	Minecraft	$291	10,11,12,13,14	Half, 5	U
http://techventurekids.org		Create your own Website	Washington	N/A	Web Dev	C++	$291	10,11,12,13,14	Half, 5	U
http://techventurekids.org		Learn to Code with Python	Washington	N/A	Programming	Python	$291	10,11,12,13,14	Half, 5	U
http://www.landon.net/page.cfm?p=4403	Landon Summer	Robotics	Maryland	N/A	Robotics	LEGO	$340	10,11,12,13	Full, 5	U
http://www.landon.net/page.cfm?p=5104	Landon Summer	Coding and 3D Printing	Maryland	N/A	Programming, 3D Printing	HTML, CSS, Python, JavaScript	$375	10,11,12,13	Full, 5	U
http://www.landon.net/page.cfm?p=6027	Landon Summer	3-D Character Animation	Maryland	N/A	Minecraft	Minecraft	$450	8,9,10,11,12,13	Full, 5	U
http://www.landon.net/page.cfm?p=6027	Landon Summer	Mod Design	Maryland	N/A	Minecraft	Java	$450	8,9,10,11,12,13	Full, 5	U
http://www.landon.net/page.cfm?p=6027	Landon Summer	Server Design	Maryland	N/A	Minecraft	Java	$450	8,9,10,11,12,13	Full, 5	U
http://www.landon.net/page.cfm?p=6027	Landon Summer	3-D Game Design	Maryland	N/A	Game Design	OWL Game Creator	$450	8,9,10,11,12,13	Full, 5	U
https://embed.snapology.com/licensee/2/events/9586	Snapology	Game Design	Maryland	N/A	Game Design	Unknown	$95	10,11,12,13,14	Half, 1	U
https://embed.snapology.com/licensee/2/events/9585	Snapology	Video Game Design	Maryland	N/A	Game Design	Unknown	$135	10,11,12,13,14	Half, 5	U
https://frederick.snapology.com/schedule/	Snapology	Adventures with Star Wars	Maryland	N/A	Robotics	LEGO	$109	5,6,7,8,9,10,11,12,13,14	Half, 5	U
https://frederick.snapology.com/schedule/	Snapology	Space Wars Robotics Summer at Talley	Maryland	N/A	Robotics	LEGO	$135	7,8,9,10,11,12,13,14	Half, 5	U
https://frederick.snapology.com/schedule/	Snapology	Snapology's Minecraft 1 & 2 Summer at Talley	Maryland	N/A	Minecraft, Robotics	Minecraft, LEGO	$119	5,6,7,8,9,10,11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	Advanced Robotics with NXT	Maryland	N/A	Robotics	LEGO	$215	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	App Adventures: The Next Level!	Maryland	N/A	App Dev	Unknown	$194	11,12,13,14	Half, 4	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	App Attack! Make Your First Game App	Maryland	N/A	App Dev	Unknown	$225	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	Creative Design and Robotics	Maryland	N/A	Robotics	Unknown	$225	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	Intermediate Engineering and Robotics	Maryland	N/A	Robotics	Unknown	$215	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	LEGO Video Games	Maryland	N/A	Game Design	Unknown	$225	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	Make Your First 3-D Video Game	Maryland	N/A	Game Design	Unknown	$225	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	Minecraft Animators	Maryland	N/A	Minecraft	Minecraft	$225	11,12,13,14	Half, 5	U
http://www.howardcc.edu/programs-courses/continuing-education/courses/kids-on-campus/pages/middle-school.html	Howard Community College	Minecraft Designers	Maryland	N/A	Minecraft	Minecraft	$225	11,12,13,14	Half, 5	U
http://www.parkschool.net/camps/detail/additional-summer-programs/	Park Camps	Video Game Creation - Arcade Style 	Maryland	N/A	Game Design	Unknown	$335	8,9,10,11,12,13,14,15,16	Half, 5	U
http://www.parkschool.net/camps/detail/additional-summer-programs/	Park Camps	Video Game Creation - Platform Style	Maryland	N/A	Game Design	Unknown	$335	8,9,10,11,12,13,14,15,16	Half, 5	U
http://www.parkschool.net/camps/detail/additional-summer-programs/	Park Camps	Kodu Video Game Creation - Go-Kart Style	Maryland	N/A	Game Design	Unknown	$335	7,8,9,10,11,12,13,14,15,16	Half, 5	U
http://www.parkschool.net/camps/detail/additional-summer-programs/	Park Camps	Kodu Video Game Creation - Adventure Style	Maryland	N/A	Game Design	Unknown	$335	7,8,9,10,11,12,13,14,15,16	Half, 5	U
http://www.parkschool.net/camps/detail/additional-summer-programs/	Park Camps	Modding, Networking, and Hosting with Minecraft	Maryland	N/A	Game Design	Unknown	$335	8,9,10,11,12,13	Half, 5	U
http://www.parkschool.net/camps/detail/additional-summer-programs/	Park Camps	Video Game Creation - 3D Concepts	Maryland	N/A	Game Design	Unknown	$335	9,10,11,12,13,14,15,16	Half, 5	U
http://brochures.lerntools.com/pdf_view.cfm?id=3614	Community College of Baltimore County	LEGO L'NEX Garage	Maryland	N/A	Robotics	LEGO	$199	11,12,13,14,15	Half, 5	U
http://brochures.lerntools.com/pdf_view.cfm?id=3614	Community College of Baltimore County	Resistors and Radios Circuits Introduction	Maryland	N/A	Circuitry	Unknown	$299	12,13,14,15	Half, 5	N
http://brochures.lerntools.com/pdf_view.cfm?id=3614	Community College of Baltimore County	Computer Animation: Introduction to Flash	Maryland	N/A	Art	Flash	$179	12,13,14,15,16	Half, 5	N
http://brochures.lerntools.com/pdf_view.cfm?id=3614	Community College of Baltimore County	All About Technology	Maryland	N/A	Circuitry	Unknown	$219	7,8,9,10,11	Half, 5	N
http://brochures.lerntools.com/pdf_view.cfm?id=3614	Community College of Baltimore County	Alice 3D Programming	Maryland	N/A	Art	Alice	$165	12,13,14	Half, 5	N
http://www.langleyschool.org/summer-studio/classes/minecraft-animators		Minecraft® Animators	Virginia	N/A	Minecraft	Minecraft	$230	8,9,10,11,12,13	Half, 5	U
http://www.ideassummercamps.com/minecraft-camp-ages-7-to-12/		Minecraft Camp	Maryland	N/A	Minecraft	Minecraft, JavaScript	$295	7,8,9,10,11,12	Full, 5	U
https://smithsonianassociates.org/camp/	Smithsonian	Advanced Video Game Design	District of Columbia	N/A	Game Design	Unknown	$460	11,12,13	Full, 5	U
http://cmse.umd.edu/k12/summer/lego		LEGO Robotics Camp	Maryland	Ehtnic Minorities	Robotics	LEGO	$75	10,11	Full, 5	Y